Location,Features,Name of Restaurant
Adyar,"['Breakfast', 'Home Delivery', 'Free Parking', 'Indoor Seating']",2
Adyar,"['Breakfast', 'Home Delivery', 'Free Parking', 'Wifi', 'Desserts and Bakes', 'Indoor Seating']",1
Adyar,"['Breakfast', 'Home Delivery', 'Full Bar Available', 'Free Parking', 'Indoor Seating', 'Table booking recommended', 'City View', 'Live Music', 'Free Wifi', 'Gluten Free Options', 'Desserts and Bakes']",1
Adyar,"['Breakfast', 'Home Delivery', 'Indoor Seating', 'Desserts and Bakes', 'Pre-Ordering Required']",1
Adyar,"['Breakfast', 'Home Delivery', 'Indoor Seating', 'Desserts and Bakes']",1
Adyar,"['Breakfast', 'Home Delivery', 'Indoor Seating', 'Pre-Ordering Required', 'Desserts and Bakes']",1
Adyar,"['Breakfast', 'Home Delivery', 'Indoor Seating', 'Wifi', 'Desserts and Bakes']",1
Adyar,"['Breakfast', 'Home Delivery', 'Indoor Seating']",1
Adyar,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Catering Available', 'Indoor Seating']",1
Adyar,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Free Parking', 'Catering Available', 'Desserts and Bakes', 'Indoor Seating']",1
Adyar,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Free Parking', 'Desserts and Bakes', 'Indoor Seating']",1
Adyar,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Free Parking', 'Indoor Seating']",1
Adyar,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'All Day Breakfast']",1
Adyar,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Buffet', 'Table reservation required']",1
Adyar,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Buffet']",1
Adyar,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Desserts and Bakes']",1
Adyar,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Free Parking']",1
Adyar,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating']",4
Adyar,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Outdoor Seating']",1
Adyar,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Valet Parking Available', 'Table reservation required', 'Serves Jain Food', 'Indoor Seating', 'Catering Available']",1
Adyar,"['Breakfast', 'Home Delivery']",1
Adyar,"['Breakfast', 'Vegetarian Only', 'Indoor Seating', 'Desserts and Bakes', 'Catering Available']",1
Adyar,"['Delivery Only', 'Desserts and Bakes']",3
Adyar,['Delivery Only'],5
Adyar,"['Home Delivery', 'Board Games', 'Indoor Seating', 'Live Sports Screening', 'Gaming Area', 'Kid Friendly']",1
Adyar,"['Home Delivery', 'Catering Available', 'Indoor Seating']",1
Adyar,"['Home Delivery', 'Desserts and Bakes', 'Indoor Seating']",1
Adyar,"['Home Delivery', 'Desserts and Bakes']",3
Adyar,"['Home Delivery', 'Free Parking', 'Indoor Seating', 'Desserts and Bakes', 'Outdoor Seating']",1
Adyar,"['Home Delivery', 'Free Parking', 'Indoor Seating']",3
Adyar,"['Home Delivery', 'Free Parking', 'Live Music', 'Table booking recommended', 'Smoking Area', 'Outdoor Seating', 'Indoor Seating']",1
